2018-05-13 22:38:08,994 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-j2ee-simple/1.0/maven-archetype-j2ee-simple-1.0.pom
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\kumark\eclipse-workspace\kk\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'projects/pom.xml' C:\Users\kumark\eclipse-workspace\kk\projects\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'logging/pom.xml' C:\Users\kumark\eclipse-workspace\kk\projects\logging\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'primary-source/pom.xml' C:\Users\kumark\eclipse-workspace\kk\primary-source\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'servlets/pom.xml' C:\Users\kumark\eclipse-workspace\kk\servlets\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'servlet/pom.xml' C:\Users\kumark\eclipse-workspace\kk\servlets\servlet\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'ejbs/pom.xml' C:\Users\kumark\eclipse-workspace\kk\ejbs\pom.xml
2018-05-13 22:38:20,417 [Worker-78] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info 'ear/pom.xml' C:\Users\kumark\eclipse-workspace\kk\ear\pom.xml
2018-05-13 22:38:20,713 [Worker-78] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: root:project:1.0 @ C:\Users\kumark\eclipse-workspace\project\pom.xml.
2018-05-13 22:38:20,716 [Worker-78] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: root.project:projects:1.0 @ C:\Users\kumark\eclipse-workspace\project\projects\pom.xml.
